source,catalog_code,dataset,access_tier,row_count,column_count,observed_years,open_id_column_present,open_id_missing_count,open_id_missing_rate,open_id_distinct_count,school_year_key_count,repeated_school_year_key_count,school_year_base_duplicate_rows,max_school_year_key_multiplicity,orphan_school_year_key_count,orphan_row_count,orphan_row_rate,join_expansion_affected_rows,join_expansion_extra_rows,exact_canonical_row_duplicate_count,source_row_hash_canonical_match_count,source_row_hash_not_reconstructable_count,row_id_mismatch_count,invalid_row_id_format_count,duplicate_row_id_count,width_mismatch_count,candidate_dimension_fields,candidate_dimension_gains,sample_all_dimensions_uniqueness_rate,grain_status,severity,status,output_path,output_sha256
고등교육통계,0101,고등교육학교개황,panel,31883,78,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,2422,30556,1187,1327,4,0,0,0.0,0,0,0,31883,0,0,0,0,0,"[""학교구분명"",""학제유형명"",""시도명"",""지역명"",""본분교명"",""고등교육학교_졸업생수"",""고등교육학교_여자졸업생수"",""고등교육학교_사무직원수"",""고등교육학교_여자사무직원수""]","[{""field"":""고등교육학교_사무직원수"",""sample_distinct_keys"":9826,""incremental_keys"":0,""sample_uniqueness_rate"":0.9814222932481023},{""field"":""고등교육학교_여자사무직원수"",""sample_distinct_keys"":9728,""incremental_keys"":0,""sample_uniqueness_rate"":0.9716340391530164},{""field"":""고등교육학교_여자졸업생수"",""sample_distinct_keys"":9983,""incremental_keys"":0,""sample_uniqueness_rate"":0.9971034758290052},{""field"":""고등교육학교_졸업생수"",""sample_distinct_keys"":10012,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""본분교명"",""sample_distinct_keys"":10012,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""시도명"",""sample_distinct_keys"":10012,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""지역명"",""sample_distinct_keys"":9881,""incremental_keys"":0,""sample_uniqueness_rate"":0.9869157011586097},{""field"":""학교구분명"",""sample_distinct_keys"":10012,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""학제유형명"",""sample_distinct_keys"":9815,""incremental_keys"":0,""sample_uniqueness_rate"":0.9803236116660008}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0101_고등교육학교개황/panel.csv.gz,5ea31f661f2c55ace9bd46962aeac8bf23f7139a985864b84320c87de7b123a2
고등교육통계,0102,대학교개황,panel,5173,74,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,324,4677,490,496,3,0,0,0.0,1091,1251,0,5173,0,0,0,0,0,"[""학교구분명"",""학제유형명"",""시도명"",""대학교개황_졸업생수"",""대학교개황_여자졸업생수"",""대학교개황_취업자수"",""대학교개황_여자취업자수"",""대학교개황_교원정원수"",""대학교개황_사무직원정원수"",""대학교개황_사무직원수"",""대학교개황_여자사무직원수"",""대학교개황_입학정원수"",""대학교개황_주간입학정원수"",""대학교개황_야간입학정원수""]","[{""field"":""시도명"",""sample_distinct_keys"":5173,""incremental_keys"":578,""sample_uniqueness_rate"":1.0},{""field"":""대학교개황_입학정원수"",""sample_distinct_keys"":5129,""incremental_keys"":534,""sample_uniqueness_rate"":0.9914942973129712},{""field"":""대학교개황_사무직원수"",""sample_distinct_keys"":5063,""incremental_keys"":468,""sample_uniqueness_rate"":0.978735743282428},{""field"":""대학교개황_사무직원정원수"",""sample_distinct_keys"":5053,""incremental_keys"":458,""sample_uniqueness_rate"":0.976802629035376},{""field"":""대학교개황_교원정원수"",""sample_distinct_keys"":5022,""incremental_keys"":427,""sample_uniqueness_rate"":0.9708099748695148},{""field"":""대학교개황_졸업생수"",""sample_distinct_keys"":4991,""incremental_keys"":396,""sample_uniqueness_rate"":0.9648173207036536},{""field"":""대학교개황_여자졸업생수"",""sample_distinct_keys"":4954,""incremental_keys"":359,""sample_uniqueness_rate"":0.9576647979895612},{""field"":""대학교개황_여자사무직원수"",""sample_distinct_keys"":4944,""incremental_keys"":349,""sample_uniqueness_rate"":0.9557316837425092},{""field"":""대학교개황_취업자수"",""sample_distinct_keys"":4881,""incremental_keys"":286,""sample_uniqueness_rate"":0.9435530639860816},{""field"":""대학교개황_여자취업자수"",""sample_distinct_keys"":4842,""incremental_keys"":247,""sample_uniqueness_rate"":0.9360139184225788},{""field"":""대학교개황_주간입학정원수"",""sample_distinct_keys"":4806,""incremental_keys"":211,""sample_uniqueness_rate"":0.9290547071331916},{""field"":""대학교개황_야간입학정원수"",""sample_distinct_keys"":4720,""incremental_keys"":125,""sample_uniqueness_rate"":0.9124299246085443},{""field"":""학제유형명"",""sample_distinct_keys"":4666,""incremental_keys"":71,""sample_uniqueness_rate"":0.9019911076744636},{""field"":""학교구분명"",""sample_distinct_keys"":4654,""incremental_keys"":59,""sample_uniqueness_rate"":0.8996713705780012}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0102_대학교개황/panel.csv.gz,eb0b1dbf801eeae66420166aa339115ec16264d61fa36f3ae37bbe825a3986f2
고등교육통계,0103,대학교학생개황,panel,333376,79,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,324,4654,4401,328722,564,0,0,0.0,89965,103916,0,333376,0,0,0,0,0,"[""학교구분명"",""학과계열구분명"",""학제유형명"",""학제유형그룹명"",""단과대학명"",""학과명"",""수업형태명"",""학과특성명"",""대학교학생_입학지원자수"",""대학교학생_여자국가기술자격취득자수"",""대학교학생_국가기술자격취득자수"",""대학교학생_여자취업불가능자수"",""대학교학생_취업불가능수"",""대학교학생개황_여자취업자수"",""대학교학생개황_취업자수"",""대학교학생_여자졸업생수"",""대학교학생_졸업생수"",""대학교학생_여자입학지원자수"",""대학교학생_야간입학정원수"",""대학교학생_주간입학정원수"",""대학교학생_입학정원수""]","[{""field"":""학과명"",""sample_distinct_keys"":9771,""incremental_keys"":6873,""sample_uniqueness_rate"":0.9834927025666834},{""field"":""단과대학명"",""sample_distinct_keys"":7254,""incremental_keys"":4356,""sample_uniqueness_rate"":0.7301459486663312},{""field"":""학과계열구분명"",""sample_distinct_keys"":6700,""incremental_keys"":3802,""sample_uniqueness_rate"":0.6743834927025667},{""field"":""대학교학생_졸업생수"",""sample_distinct_keys"":6189,""incremental_keys"":3291,""sample_uniqueness_rate"":0.6229491696024158},{""field"":""대학교학생_여자졸업생수"",""sample_distinct_keys"":5879,""incremental_keys"":2981,""sample_uniqueness_rate"":0.5917463512833417},{""field"":""대학교학생_입학정원수"",""sample_distinct_keys"":5552,""incremental_keys"":2654,""sample_uniqueness_rate"":0.5588324106693507},{""field"":""대학교학생개황_취업자수"",""sample_distinct_keys"":4574,""incremental_keys"":1676,""sample_uniqueness_rate"":0.46039255158530445},{""field"":""대학교학생개황_여자취업자수"",""sample_distinct_keys"":4265,""incremental_keys"":1367,""sample_uniqueness_rate"":0.42929038751887266},{""field"":""대학교학생_여자입학지원자수"",""sample_distinct_keys"":3739,""incremental_keys"":841,""sample_uniqueness_rate"":0.37634625062908905},{""field"":""대학교학생_입학지원자수"",""sample_distinct_keys"":3734,""incremental_keys"":836,""sample_uniqueness_rate"":0.3758429793658782},{""field"":""대학교학생_국가기술자격취득자수"",""sample_distinct_keys"":3658,""incremental_keys"":760,""sample_uniqueness_rate"":0.368193256165073},{""field"":""대학교학생_주간입학정원수"",""sample_distinct_keys"":3547,""incremental_keys"":649,""sample_uniqueness_rate"":0.35702063412179164},{""field"":""대학교학생_여자국가기술자격취득자수"",""sample_distinct_keys"":3488,""incremental_keys"":590,""sample_uniqueness_rate"":0.35108203321590337},{""field"":""수업형태명"",""sample_distinct_keys"":3437,""incremental_keys"":539,""sample_uniqueness_rate"":0.3459486663311525},{""field"":""학과특성명"",""sample_distinct_keys"":3121,""incremental_keys"":223,""sample_uniqueness_rate"":0.31414192249622547},{""field"":""대학교학생_야간입학정원수"",""sample_distinct_keys"":2942,""incremental_keys"":44,""sample_uniqueness_rate"":0.2961248112732763},{""field"":""대학교학생_취업불가능수"",""sample_distinct_keys"":2924,""incremental_keys"":26,""sample_uniqueness_rate"":0.2943130347257172},{""field"":""대학교학생_여자취업불가능자수"",""sample_distinct_keys"":2922,""incremental_keys"":24,""sample_uniqueness_rate"":0.2941117262204328},{""field"":""학제유형그룹명"",""sample_distinct_keys"":2918,""incremental_keys"":20,""sample_uniqueness_rate"":0.2937091092098641},{""field"":""학교구분명"",""sample_distinct_keys"":2906,""incremental_keys"":8,""sample_uniqueness_rate"":0.29250125817815803},{""field"":""학제유형명"",""sample_distinct_keys"":2889,""incremental_keys"":0,""sample_uniqueness_rate"":0.29079013588324104}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0103_대학교학생개황/panel.csv.gz,2271e6f4aeea3aeac4fea4a55587ae65925d4935474c7cddf9713becacc5387c
고등교육통계,0104,대학원개황,panel,23761,71,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,1956,23424,334,337,3,0,0,0.0,883,993,0,23761,0,0,0,0,0,"[""학교구분명"",""시도명"",""대학원개황_석사과정졸업생수"",""대학원개황_석사과정여자졸업생수"",""대학원개황_박사과정졸업생수"",""대학원개황_박사과정여자졸업생수"",""대학원개황_석사과정입학정원수"",""대학원개황_주간석사과정입학정원수"",""대학원개황_야간석사과정입학정원수"",""대학원개황_주야간석사과정입학정원수"",""대학원개황_박사과정입학정원수"",""대학원개황_주간박사과정입학정원수"",""대학원개황_야간박사과정입학정원수""]","[{""field"":""대학원개황_박사과정여자졸업생수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_박사과정입학정원수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_박사과정졸업생수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_석사과정여자졸업생수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_석사과정입학정원수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_석사과정졸업생수"",""sample_distinct_keys"":9717,""incremental_keys"":0,""sample_uniqueness_rate"":0.974037690457097},{""field"":""대학원개황_야간박사과정입학정원수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_야간석사과정입학정원수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_주간박사과정입학정원수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""대학원개황_주간석사과정입학정원수"",""sample_distinct_keys"":9760,""incremental_keys"":0,""sample_uniqueness_rate"":0.9783480352846833},{""field"":""대학원개황_주야간석사과정입학정원수"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""시도명"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0},{""field"":""학교구분명"",""sample_distinct_keys"":9976,""incremental_keys"":0,""sample_uniqueness_rate"":1.0}]",0.9860665597433841,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0104_대학원개황/panel.csv.gz,f6fe066ad9fe978389e6a8f371880eb6870e109c5aae4d9ec845b8581be73d02
고등교육통계,0105,대학원학생개황,panel,64747,127,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,1952,22973,14512,41774,8,0,0,0.0,2853,3250,0,64747,0,0,0,0,0,"[""학교구분명"",""학과계열구분명"",""대학원학생_박사과정여자졸업생수"",""박사과정남자졸업생수"",""대학원학생_박사과정졸업생수"",""대학원학생_석사과정여자졸업생수"",""석사과정남자졸업생수"",""대학원학생_석사과정졸업생수"",""주야간박사과정입학정원수"",""대학원학생_야간박사과정입학정원수"",""대학원학생_주야간석사과정입학정원수"",""대학원학생_야간석사과정입학정원수"",""대학원학생_주간석사과정입학정원수"",""대학원학생_박사과정입학정원수"",""대학원학생_석사과정입학정원수"",""대학원학생_주간박사과정입학정원수""]","[{""field"":""학과계열구분명"",""sample_distinct_keys"":10080,""incremental_keys"":2045,""sample_uniqueness_rate"":1.0},{""field"":""대학원학생_석사과정입학정원수"",""sample_distinct_keys"":9329,""incremental_keys"":1294,""sample_uniqueness_rate"":0.9254960317460318},{""field"":""대학원학생_주간석사과정입학정원수"",""sample_distinct_keys"":9019,""incremental_keys"":984,""sample_uniqueness_rate"":0.8947420634920635},{""field"":""대학원학생_박사과정입학정원수"",""sample_distinct_keys"":8799,""incremental_keys"":764,""sample_uniqueness_rate"":0.8729166666666667},{""field"":""대학원학생_주간박사과정입학정원수"",""sample_distinct_keys"":8799,""incremental_keys"":764,""sample_uniqueness_rate"":0.8729166666666667},{""field"":""대학원학생_석사과정졸업생수"",""sample_distinct_keys"":8782,""incremental_keys"":747,""sample_uniqueness_rate"":0.8712301587301587},{""field"":""대학원학생_석사과정여자졸업생수"",""sample_distinct_keys"":8706,""incremental_keys"":671,""sample_uniqueness_rate"":0.8636904761904762},{""field"":""대학원학생_야간석사과정입학정원수"",""sample_distinct_keys"":8478,""incremental_keys"":443,""sample_uniqueness_rate"":0.8410714285714286},{""field"":""대학원학생_박사과정졸업생수"",""sample_distinct_keys"":8470,""incremental_keys"":435,""sample_uniqueness_rate"":0.8402777777777778},{""field"":""석사과정남자졸업생수"",""sample_distinct_keys"":8462,""incremental_keys"":427,""sample_uniqueness_rate"":0.839484126984127},{""field"":""대학원학생_박사과정여자졸업생수"",""sample_distinct_keys"":8337,""incremental_keys"":302,""sample_uniqueness_rate"":0.8270833333333333},{""field"":""박사과정남자졸업생수"",""sample_distinct_keys"":8269,""incremental_keys"":234,""sample_uniqueness_rate"":0.8203373015873016},{""field"":""주야간박사과정입학정원수"",""sample_distinct_keys"":8136,""incremental_keys"":101,""sample_uniqueness_rate"":0.8071428571428572},{""field"":""대학원학생_주야간석사과정입학정원수"",""sample_distinct_keys"":8121,""incremental_keys"":86,""sample_uniqueness_rate"":0.8056547619047619},{""field"":""대학원학생_야간박사과정입학정원수"",""sample_distinct_keys"":8107,""incremental_keys"":72,""sample_uniqueness_rate"":0.804265873015873},{""field"":""학교구분명"",""sample_distinct_keys"":7793,""incremental_keys"":0,""sample_uniqueness_rate"":0.7731150793650794}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0105_대학원학생개황/panel.csv.gz,91d027110423c9f64c95c2c4d2780af4c83de7ac1d633f2251ab991357ea6b0f
고등교육통계,0106,전문대학개황,panel,2469,84,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,162,2463,6,6,2,0,0,0.0,37,37,0,2469,0,0,0,0,0,"[""학교구분명"",""시도명"",""전문대_학사심화과정입학정원수""]","[{""field"":""전문대_학사심화과정입학정원수"",""sample_distinct_keys"":2469,""incremental_keys"":22,""sample_uniqueness_rate"":1.0},{""field"":""학교구분명"",""sample_distinct_keys"":2469,""incremental_keys"":22,""sample_uniqueness_rate"":1.0},{""field"":""시도명"",""sample_distinct_keys"":2445,""incremental_keys"":0,""sample_uniqueness_rate"":0.9902794653705954}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0106_전문대학개황/panel.csv.gz,ef84fbc6f1c210c3cb34de1fef850a356809c1c6983e2720f9623c28d0943500
고등교육통계,0107,전문대학학생개황,panel,143049,95,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,162,2449,2422,140600,293,0,0,0.0,3320,3320,0,143049,0,0,0,0,0,"[""학교구분명"",""학과계열구분명"",""학과명"",""학과특성명"",""단과대학명"",""수업형태명"",""학사심화과정입학지원자수"",""학사심화과정여자입학지원자수"",""전문대_학사심화과정입학정원수"",""전문대_여자국가기술자격취득자수"",""전문대_국가기술자격취득자수""]","[{""field"":""학과명"",""sample_distinct_keys"":9611,""incremental_keys"":7499,""sample_uniqueness_rate"":0.962062062062062},{""field"":""학과계열구분명"",""sample_distinct_keys"":5775,""incremental_keys"":3663,""sample_uniqueness_rate"":0.5780780780780781},{""field"":""학과특성명"",""sample_distinct_keys"":3430,""incremental_keys"":1318,""sample_uniqueness_rate"":0.3433433433433433},{""field"":""수업형태명"",""sample_distinct_keys"":3359,""incremental_keys"":1247,""sample_uniqueness_rate"":0.3362362362362362},{""field"":""전문대_국가기술자격취득자수"",""sample_distinct_keys"":3190,""incremental_keys"":1078,""sample_uniqueness_rate"":0.31931931931931934},{""field"":""전문대_여자국가기술자격취득자수"",""sample_distinct_keys"":2827,""incremental_keys"":715,""sample_uniqueness_rate"":0.28298298298298297},{""field"":""학사심화과정입학지원자수"",""sample_distinct_keys"":2217,""incremental_keys"":105,""sample_uniqueness_rate"":0.22192192192192192},{""field"":""학사심화과정여자입학지원자수"",""sample_distinct_keys"":2195,""incremental_keys"":83,""sample_uniqueness_rate"":0.2197197197197197},{""field"":""전문대_학사심화과정입학정원수"",""sample_distinct_keys"":2174,""incremental_keys"":62,""sample_uniqueness_rate"":0.2176176176176176},{""field"":""단과대학명"",""sample_distinct_keys"":2166,""incremental_keys"":54,""sample_uniqueness_rate"":0.2168168168168168},{""field"":""학교구분명"",""sample_distinct_keys"":2130,""incremental_keys"":18,""sample_uniqueness_rate"":0.2132132132132132}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0107_전문대학학생개황/panel.csv.gz,5cbf95dc4dc396ee13b6eacc5129a893119c41564c77386b0c3f5beca3e993ee
고등교육통계,0201,계열별입학정원현황_대학원,panel,56764,18,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,1798,18652,18566,38112,9,0,0,0.0,2249,2581,0,18747,38017,0,0,0,0,"[""학교구분명"",""석박사구분명"",""본분교명"",""계열별입학정원_대학원_입학정원수""]","[{""field"":""석박사구분명"",""sample_distinct_keys"":10221,""incremental_keys"":1937,""sample_uniqueness_rate"":1.0},{""field"":""계열별입학정원_대학원_입학정원수"",""sample_distinct_keys"":9611,""incremental_keys"":1327,""sample_uniqueness_rate"":0.9403189511789453},{""field"":""본분교명"",""sample_distinct_keys"":8623,""incremental_keys"":339,""sample_uniqueness_rate"":0.8436552196458272},{""field"":""학교구분명"",""sample_distinct_keys"":8438,""incremental_keys"":154,""sample_uniqueness_rate"":0.8255552294296057}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0201_계열별입학정원현황_대학원/panel.csv.gz,d8f88d1b5b46aedcef1410d293063ee4d67b2fc778933f4771e16ce709259cd1
고등교육통계,0202,교육대학대학원학급편성기준,panel,927,21,"[""2009"",""2010"",""2011"",""2012"",""2013""]",True,0,0.0,234,304,304,623,6,0,0,0.0,42,42,0,927,0,0,0,0,0,"[""학교구분명"",""계열구분명"",""본분교명""]","[{""field"":""계열구분명"",""sample_distinct_keys"":908,""incremental_keys"":596,""sample_uniqueness_rate"":0.9795037756202805},{""field"":""본분교명"",""sample_distinct_keys"":307,""incremental_keys"":0,""sample_uniqueness_rate"":0.33117583603020495},{""field"":""학교구분명"",""sample_distinct_keys"":307,""incremental_keys"":0,""sample_uniqueness_rate"":0.33117583603020495}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0202_교육대학대학원학급편성기준/panel.csv.gz,9604d8fc46ed203c4ea76ad7cc0094692c384f9cf9fbe8440923d19efa94ae40
고등교육통계,0203,국가별외국인유학생현황,panel,427432,38,"[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022""]",True,0,0.0,1511,10871,10588,416561,1530,0,0,0.0,56590,62667,0,0,427432,0,0,0,0,"[""학교구분명"",""성별명"",""계열구분명"",""학위과정구분명"",""계열종류구분명"",""국가명"",""국가별외국인유학생_인원수""]","[{""field"":""국가명"",""sample_distinct_keys"":9120,""incremental_keys"":5142,""sample_uniqueness_rate"":0.918799113439452},{""field"":""국가별외국인유학생_인원수"",""sample_distinct_keys"":6633,""incremental_keys"":2655,""sample_uniqueness_rate"":0.6682450130969172},{""field"":""학위과정구분명"",""sample_distinct_keys"":5510,""incremental_keys"":1532,""sample_uniqueness_rate"":0.5551077977030022},{""field"":""성별명"",""sample_distinct_keys"":5337,""incremental_keys"":1359,""sample_uniqueness_rate"":0.5376788232923635},{""field"":""계열종류구분명"",""sample_distinct_keys"":5063,""incremental_keys"":1085,""sample_uniqueness_rate"":0.5100745516824501},{""field"":""계열구분명"",""sample_distinct_keys"":4546,""incremental_keys"":568,""sample_uniqueness_rate"":0.45798911948418297},{""field"":""학교구분명"",""sample_distinct_keys"":3928,""incremental_keys"":0,""sample_uniqueness_rate"":0.3957283900866411}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0203_국가별외국인유학생현황/panel.csv.gz,664c2cdd7658c2e8ae8423703c904dbbaa680b355172f3d5359327c66ea75cea
고등교육통계,0204,국가별외국인유학생현황_대학원,panel,31046,36,"[""2009"",""2010"",""2011"",""2012"",""2013""]",True,0,0.0,851,2868,2868,28178,174,0,0,0.0,2448,2556,0,31046,0,0,0,0,0,"[""학교구분명"",""성별명"",""본분교명"",""국가명""]","[{""field"":""국가명"",""sample_distinct_keys"":8337,""incremental_keys"":6182,""sample_uniqueness_rate"":0.8270833333333333},{""field"":""성별명"",""sample_distinct_keys"":3411,""incremental_keys"":1256,""sample_uniqueness_rate"":0.33839285714285716},{""field"":""본분교명"",""sample_distinct_keys"":2203,""incremental_keys"":48,""sample_uniqueness_rate"":0.2185515873015873},{""field"":""학교구분명"",""sample_distinct_keys"":2144,""incremental_keys"":0,""sample_uniqueness_rate"":0.2126984126984127}]",1.0,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0204_국가별외국인유학생현황_대학원/panel.csv.gz,889ac1a26e5a36290017820155088444cde072a4b8bc8d6e027aa783e090e23b
고등교육통계,0205,모집및입학정원현황,panel,623172,24,"[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]",True,0,0.0,445,4956,4936,618216,1128,0,0,0.0,129318,152311,0,623172,0,0,0,0,0,"[""학교구분명"",""학위과정구분명"",""정원구분명"",""단과대학명"",""학과명"",""학과특성명"",""수업연한명""]","[{""field"":""학과명"",""sample_distinct_keys"":9979,""incremental_keys"":6737,""sample_uniqueness_rate"":1.0},{""field"":""단과대학명"",""sample_distinct_keys"":6403,""incremental_keys"":3161,""sample_uniqueness_rate"":0.6416474596652971},{""field"":""정원구분명"",""sample_distinct_keys"":4865,""incremental_keys"":1623,""sample_uniqueness_rate"":0.48752379997995793},{""field"":""수업연한명"",""sample_distinct_keys"":3975,""incremental_keys"":733,""sample_uniqueness_rate"":0.3983365066639944},{""field"":""학과특성명"",""sample_distinct_keys"":3861,""incremental_keys"":619,""sample_uniqueness_rate"":0.3869125162841968},{""field"":""학위과정구분명"",""sample_distinct_keys"":3528,""incremental_keys"":286,""sample_uniqueness_rate"":0.35354243912215655},{""field"":""학교구분명"",""sample_distinct_keys"":3242,""incremental_keys"":0,""sample_uniqueness_rate"":0.32488225273073457}]",0.9748471790760598,additional_dimensions_required,medium,review_required,data/processed/edss/panel/고등교육통계/0205_모집및입학정원현황/panel.csv.gz,e3ff3944ac24ed47c58c12dca05b388fd2e311b1eefde3469e30eeb96699edbe
